# H spectra on top of atmosphere, PAMELA, The Astrophysical Journal, 770:2 (9pp), 2013 June 10
# kinetic energy is in GeV and spectra in (m2 s sr MeV)−1
#            2006 Nov 13–2006 Dec 4          2007 Nov 30–2007 Dec 27                2008 Nov 19–2008 Dec 15                2009 Dec 6–2010 Jan 1
#Ekmin Ekmax Flux      stat    +sys   -sys   Flux      stat       +sys     -sys     Flux      stat       +sys     -sys     Flux      stat       +sys    -sys
0.39   0.43  1.410     0.016   0.096  0.068  1.778     0.013      0.126    0.071    1.983     0.015      0.146    0.074    2.415     0.061      0.351    0.146
0.43   0.46  1.396     0.016   0.094  0.068  1.754     0.013      0.123    0.070    1.959     0.014      0.143    0.073    2.495     0.060      0.362    0.145
0.46   0.50  1.391     0.015   0.093  0.067  1.715     0.012      0.119    0.069    1.941     0.014      0.140    0.072    2.383     0.056      0.345    0.145
0.50   0.54  1.349     0.014   0.089  0.066  1.677     0.012      0.115    0.068    1.844     0.013      0.132    0.071    2.200     0.052      0.318    0.144
0.54   0.58  1.328     0.014   0.086  0.065  1.643     0.011      0.111    0.068    1.789     0.012      0.126    0.071    2.213     0.050      0.319    0.144
0.58   0.62  1.300     0.009   0.084  0.064  1.577     0.010      0.105    0.067    1.731     0.013      0.121    0.070    2.107     0.032      0.303    0.144
0.62   0.67  1.254     0.008   0.080  0.064  1.527     0.009      0.101    0.066    1.641     0.012      0.114    0.069    1.966     0.030      0.282    0.143
0.67   0.72  1.220     0.008   0.077  0.063  1.468     0.009      0.096    0.065    1.587     0.011      0.109    0.068    1.870     0.028      0.268    0.143
0.72   0.77  1.173     0.007   0.073  0.062  1.403     0.008      0.091    0.065    1.510     0.011      0.102    0.068    1.769     0.026      0.252    0.143
0.77   0.83  1.125     0.007   0.069  0.061  1.341     0.007      0.086    0.064    1.431     0.010      0.096    0.067    1.710     0.025      0.243    0.142
0.83   0.89  1.064     0.006   0.064  0.060  1.272     0.007      0.080    0.063    1.357     0.009      0.090    0.066    1.550     0.022      0.220    0.142
0.89   0.96  1.003     0.006   0.060  0.060  1.197     0.007      0.075    0.062    1.273     0.009      0.084    0.066    1.442     0.021      0.204    0.142
0.96   1.02  0.964     0.005   0.057  0.059  1.135     0.006      0.070    0.062    1.192     0.008      0.077    0.065    1.382     0.020      0.195    0.141
1.02   1.09  0.919     0.005   0.053  0.058  1.066     0.006      0.065    0.061    1.127     0.007      0.072    0.064    1.294     0.018      0.183    0.141
1.09   1.17  0.860     0.005   0.049  0.057  0.993     0.005      0.060    0.060    1.041     0.007      0.066    0.064    1.178     0.017      0.166    0.141
1.17   1.25  0.813     0.004   0.046  0.046  0.934     0.005      0.056    0.056    0.983     0.006      0.062    0.062    1.105     0.016      0.155    0.155
1.25   1.34  0.753     0.004   0.042  0.042  0.860     0.005      0.051    0.051    0.903     0.006      0.056    0.056    1.030     0.014      0.144    0.144
1.34   1.42  0.708     0.004   0.039  0.039  0.813     0.004      0.047    0.047    0.845     0.006      0.052    0.052    0.931     0.013      0.130    0.130
1.42   1.52  0.650     0.004   0.035  0.035  0.748     0.004      0.043    0.043    0.782     0.005      0.048    0.048    0.862     0.012      0.120    0.120
1.52   1.62  0.607     0.003   0.033  0.033  0.693     0.004      0.039    0.039    0.719     0.005      0.044    0.044    0.789     0.011      0.110    0.110
1.62   1.72  0.562     0.003   0.030  0.030  0.640     0.003      0.036    0.036    0.670     0.004      0.040    0.040    0.720     0.010      0.100    0.100
1.72   1.83  0.520     0.003   0.027  0.027  0.590     0.003      0.033    0.033    0.612     0.004      0.036    0.036    0.675     0.010      0.094    0.094
1.83   1.95  0.481     0.003   0.025  0.025  0.540     0.003      0.030    0.030    0.562     0.004      0.033    0.033    0.605     0.009      0.084    0.084
1.95   2.07  0.441     0.002   0.023  0.023  0.501     0.003      0.027    0.027    0.512     0.004      0.030    0.030    0.547     0.008      0.076    0.076
2.07   2.20  0.412     0.002   0.021  0.021  0.450     0.002      0.024    0.024    0.461     0.003      0.027    0.027    0.499     0.008      0.069    0.069
2.20   2.33  0.374     0.002   0.019  0.019  0.409     0.002      0.022    0.022    0.428     0.003      0.024    0.024    0.450     0.007      0.062    0.062
2.33   2.48  0.347     0.002   0.017  0.017  0.377     0.002      0.020    0.020    0.388     0.003      0.022    0.022    0.411     0.006      0.057    0.057
2.48   2.62  0.315     0.002   0.015  0.015  0.348     0.002      0.018    0.018    0.356     0.003      0.020    0.020    0.390     0.006      0.054    0.054
2.62   2.78  0.286     0.002   0.014  0.014  0.318     0.002      0.016    0.016    0.322     0.002      0.018    0.018    0.334     0.005      0.046    0.046
2.78   2.94  0.262     0.002   0.012  0.012  0.288     0.002      0.015    0.015    0.291     0.002      0.016    0.016    0.303     0.005      0.042    0.042
2.94   3.12  0.239     0.001   0.011  0.011  0.258     0.002      0.013    0.013    0.262     0.002      0.014    0.014    0.276     0.005      0.038    0.038
3.12   3.30  0.215     0.001   0.010  0.010  0.234     0.001      0.012    0.012    0.239     0.002      0.013    0.013    0.251     0.004      0.034    0.034
3.30   3.49  0.195     0.001   0.009  0.009  0.210     0.001      0.010    0.010    0.215     0.002      0.012    0.012    0.223     0.004      0.031    0.031
3.49   3.69  0.175     0.001   0.008  0.008  0.189     0.001      0.009    0.009    0.194     0.002      0.010    0.010    0.204     0.004      0.028    0.028
3.69   4.12  151.4e−3  0.7e−3  6.9e−3 6.9e−3 163.3e−3  0.7565e−3  8.050e−3 8.050e−3 164.7e−3  0.9853e−3  8.790e−3 8.790e−3 0.172     0.002      0.023    0.023
4.12   4.59  124.4e−3  0.6e−3  5.6e−3 5.6e−3 132.0e−3  0.6391e−3  6.446e−3 6.446e−3 134.3e−3  0.8364e−3  7.113e−3 7.113e−3 0.141     0.002      0.019    0.019
4.59   5.11  99.15e−3  0.5e−3  4.4e−3 4.4e−3 106.8e−3  0.5402e−3  5.168e−3 5.168e−3 109.1e−3  0.7083e−3  5.731e−3 5.731e−3 0.113     0.002      0.015    0.015
5.11   5.68  81.38e−3  0.4e−3  3.6e−3 3.6e−3 85.34e−3  0.4537e−3  4.093e−3 4.093e−3 86.97e−3  0.5944e−3  4.536e−3 4.536e−3 0.091     0.001      0.012    0.012
5.68   6.30  65.27e−3  0.4e−3  2.9e−3 2.9e−3 68.61e−3  0.3820e−3  3.262e−3 3.262e−3 69.55e−3  0.4994e−3  3.601e−3 3.601e−3 0.069     0.001      0.009    0.009
6.30   6.99  52.12e−3  0.3e−3  2.3e−3 2.3e−3 54.86e−3  0.3211e−3  2.587e−3 2.587e−3 55.60e−3  0.4197e−3  2.859e−3 2.859e−3 56.69e−3  0.9533e−3  7.693e−3 7.693e−3
6.99   7.74  41.66e−3  0.3e−3  1.8e−3 1.8e−3 43.65e−3  0.2691e−3  2.042e−3 2.042e−3 44.15e−3  0.3514e−3  2.255e−3 2.255e−3 44.91e−3  0.7967e−3  6.088e−3 6.088e−3
7.74   8.57  33.18e−3  0.2e−3  1.4e−3 1.4e−3 34.31e−3  0.2241e−3  1.593e−3 1.593e−3 34.65e−3  0.2923e−3  1.759e−3 1.759e−3 34.70e−3  0.6572e−3  4.700e−3 4.700e−3
8.57   9.48  26.26e−3  0.2e−3  1.1e−3 1.1e−3 26.80e−3  0.1856e−3  1.235e−3 1.235e−3 27.12e−3  0.2424e−3  1.368e−3 1.368e−3 27.44e−3  0.5473e−3  3.713e−3 3.713e−3
9.48   10.48 208.8e−4  1.5e−4  8.8e−4 8.8e−4 214.3e−4  1.556e−4   9.872e−4 9.872e−4 21.32e−3  0.2014e−3  1.075e−3 1.075e−3 21.77e−3  0.4564e−3  2.945e−3 2.945e−3
10.48  11.57 164.0e−4  1.2e−4  6.9e−4 6.9e−4 167.1e−4  1.286e−4   7.697e−4 7.697e−4 167.7e−4  1.672e−4   8.456e−4 8.456e−4 16.86e−3  0.3755e−3  2.281e−3 2.281e−3
11.57  12.77 128.9e−4  1.0e−4  5.5e−4 5.5e−4 130.2e−4  1.061e−4   5.998e−4 5.998e−4 134.6e−4  1.399e−4   6.785e−4 6.785e−4 13.03e−3  0.3083e−3  1.763e−3 1.763e−3
12.77  14.09 100.1e−4  0.8e−4  4.2e−4 4.2e−4 103.4e−4  0.8845e−4  4.762e−4 4.762e−4 102.8e−4  1.143e−4   5.182e−4 5.182e−4 10.22e−3  0.2554e−3  1.384e−3 1.384e−3
14.09  15.54 78.59e−4  0.7e−4  3.3e−4 3.3e−4 79.72e−4  0.7250e−4  3.672e−4 3.672e−4 78.55e−4  0.9319e−4  3.960e−4 3.960e−4 8.339e−3  0.2150e−3  1.129e−3 1.129e−3
15.54  17.12 62.71e−4  0.6e−4  2.7e−4 2.7e−4 64.08e−4  0.6064e−4  2.952e−4 2.952e−4 62.57e−4  0.7736e−4  3.154e−4 3.154e−4 62.71e−4  1.735e−4   8.486e−4 8.486e−4
17.12  18.86 47.92e−4  0.5e−4  2.0e−4 2.0e−4 49.08e−4  0.4937e−4  2.261e−4 2.261e−4 49.15e−4  0.6357e−4  2.478e−4 2.478e−4 47.39e−4  1.400e−4   6.413e−4 6.413e−4
18.86  20.76 37.16e−4  0.4e−4  1.6e−4 1.6e−4 37.96e−4  0.4066e−4  1.748e−4 1.748e−4 38.06e−4  0.5230e−4  1.919e−4 1.919e−4 38.42e−4  1.181e−4   5.200e−4 5.200e−4
20.76  22.85 28.92e−4  0.3e−4  1.2e−4 1.2e−4 29.32e−4  0.3398e−4  1.351e−4 1.351e−4 28.47e−4  0.4282e−4  1.435e−4 1.435e−4 28.76e−4  9.688e−4   3.892e−4 3.892e−4
22.85  25.15 225.8e−5  2.6e−5  9.6e−5 9.6e−5 23.07e−4  0.2879e−4  1.063e−4 1.063e−4 22.61e−4  0.3642e−4  1.140e−4 1.140e−4 21.59e−4  0.8009e−4  2.922e−4 2.922e−4
25.15  27.66 171.3e−5  2.2e−5  7.2e−5 7.2e−5 173.8e−5  2.389e−5   8.006e−5 8.006e−5 173.5e−5  3.049e−5   8.745e−5 8.745e−5 18.35e−4  0.7055e−4  2.484e−4 2.484e−4
27.66  30.42 138.0e−5  1.9e−5  5.8e−5 5.8e−5 137.7e−5  2.031e−5   6.344e−5 6.344e−5 138.8e−5  2.603e−5   6.997e−5 6.997e−5 14.03e−4  0.5883e−4  1.898e−4 1.898e−4
30.42  33.44 103.8e−5  1.5e−5  4.4e−5 4.4e−5 105.6e−5  1.699e−5   4.862e−5 4.862e−5 101.5e−5  2.127e−5   5.118e−5 5.118e−5 10.95e−4  0.4965e−4  1.482e−4 1.482e−4
33.44  36.75 81.42e−5  1.3e−5  3.4e−5 3.4e−5 80.24e−5  1.416e−5   3.696e−5 3.696e−5 81.51e−5  1.820e−5   4.109e−5 4.109e−5 76.20e−4  0.3955e−4  1.031e−4 1.031e−4
36.75  40.39 63.41e−5  1.1e−5  2.7e−5 2.7e−5 62.97e−5  1.199e−5   2.900e−5 2.900e−5 62.22e−5  1.520e−5   3.137e−5 3.137e−5 61.51e−5  3.396e−5   8.323e−5 8.323e−5
40.39  44.37 47.29e−5  0.9e−5  2.0e−5 2.0e−5 49.30e−5  1.014e−5   2.271e−5 2.271e−5 49.86e−5  1.300e−5   2.514e−5 2.514e−5 47.38e−5  2.847e−5   6.412e−5 6.412e−5
44.37  48.74 35.22e−5  0.8e−5  1.5e−5 1.5e−5 33.67e−5  0.801e−5   1.551e−5 1.551e−5 35.50e−5  1.049e−5   1.790e−5 1.790e−5 36.99e−5  2.404e−5   5.006e−5 5.006e−5
