# Proton flux at the top of atmosphere, BESS-Polar, arXiv:1506.01267
# Energy in GeV, Fluxes in (m2 sr s GeV)-1
#                         BESS-Polar I (2004)                                BESS-Polar II (2007)
#Emin   Emax     E        Flux          stat        +syst       -syst        Flux       stat     +syst    -syst
1.000   1.059    1.029    6.169e2       0.011e2     0.130e2     0.130e2      1.003e3    0.001e3  0.022e3  0.022e3
1.059   1.122    1.090    5.916e2       0.011e2     0.122e2     0.122e2      9.483e2    0.005e2  0.207e2  0.207e2
1.122   1.189    1.155    5.688e2       0.010e2     0.117e2     0.117e2      8.948e2    0.005e2  0.195e2  0.195e2
1.189   1.259    1.223    5.485e2       0.010e2     0.110e2     0.110e2      8.421e2    0.004e2  0.180e2  0.180e2
1.259   1.334    1.296    5.222e2       0.009e2     0.103e2     0.103e2      7.909e2    0.004e2  0.166e2  0.166e2
1.334   1.413    1.373    5.010e2       0.009e2     0.097e2     0.097e2      7.410e2    0.004e2  0.153e2  0.153e2
1.413   1.496    1.454    4.742e2       0.008e2     0.092e2     0.092e2      6.927e2    0.004e2  0.143e2  0.143e2
1.496   1.585    1.540    4.508e2       0.008e2     0.086e2     0.086e2      6.462e2    0.003e2  0.132e2  0.132e2
1.585   1.679    1.631    4.268e2       0.007e2     0.080e2     0.080e2      6.020e2    0.003e2  0.121e2  0.121e2
1.679   1.778    1.728    4.024e2       0.007e2     0.075e2     0.075e2      5.592e2    0.003e2  0.111e2  0.111e2
1.778   1.884    1.830    3.779e2       0.007e2     0.070e2     0.070e2      5.176e2    0.003e2  0.103e2  0.103e2
1.884   1.995    1.939    3.555e2       0.006e2     0.065e2     0.065e2      4.780e2    0.003e2  0.094e2  0.094e2
1.995   2.113    2.054    3.314e2       0.006e2     0.060e2     0.060e2      4.409e2    0.002e2  0.086e2  0.086e2
2.113   2.239    2.175    3.098e2       0.006e2     0.056e2     0.056e2      4.052e2    0.002e2  0.078e2  0.078e2
2.239   2.371    2.304    2.893e2       0.005e2     0.052e2     0.052e2      3.718e2    0.002e2  0.072e2  0.072e2
2.371   2.512    2.441    2.691e2       0.005e2     0.048e2     0.048e2      3.402e2    0.002e2  0.065e2  0.065e2
2.512   2.661    2.585    2.501e2       0.005e2     0.045e2     0.045e2      3.120e2    0.002e2  0.059e2  0.059e2
2.661   2.818    2.739    2.315e2       0.004e2     0.041e2     0.041e2      2.851e2    0.002e2  0.054e2  0.054e2
2.818   2.985    2.901    2.126e2       0.004e2     0.038e2     0.038e2      2.599e2    0.002e2  0.049e2  0.049e2
2.985   3.162    3.073    1.969e2       0.004e2     0.035e2     0.036e2      2.369e2    0.001e2  0.044e2  0.046e2
3.162   3.415    3.286    1.766e2       0.003e2     0.031e2     0.033e2      2.118e2    0.001e2  0.039e2  0.043e2
3.415   3.687    3.548    1.564e2       0.003e2     0.027e2     0.032e2      1.854e2    0.001e2  0.034e2  0.043e2
3.687   3.981    3.831    1.375e2       0.002e2     0.024e2     0.032e2      1.613e2    0.001e2  0.030e2  0.043e2
3.981   4.299    4.137    1.204e2       0.002e2     0.021e2     0.029e2      1.397e2    0.001e2  0.026e2  0.038e2
4.299   4.642    4.467    1.050e2       0.002e2     0.018e2     0.026e2      1.206e2    0.001e2  0.022e2  0.034e2
4.642   5.012    4.823    9.120e1       0.017e1     0.156e1     0.240e1      1.038e2    0.001e2  0.019e2  0.031e2
5.012   5.412    5.208    7.877e1       0.015e1     0.135e1     0.222e1      8.899e1    0.006e1  0.161e1  0.279e1
5.412   5.843    5.623    6.788e1       0.014e1     0.116e1     0.199e1      7.606e1    0.005e1  0.137e1  0.244e1
5.843   6.310    6.072    5.806e1       0.012e1     0.099e1     0.177e1      6.467e1    0.005e1  0.116e1  0.212e1
6.310   6.813    6.556    4.961e1       0.011e1     0.084e1     0.153e1      5.486e1    0.004e1  0.099e1  0.181e1
6.813   7.356    7.079    4.230e1       0.010e1     0.072e1     0.131e1      4.638e1    0.004e1  0.083e1  0.154e1
7.356   7.943    7.644    3.574e1       0.009e1     0.060e1     0.114e1      3.904e1    0.003e1  0.070e1  0.130e1
7.943   8.577    8.254    3.038e1       0.008e1     0.051e1     0.098e1      3.282e1    0.003e1  0.059e1  0.110e1
8.577   9.261    8.912    2.547e1       0.007e1     0.043e1     0.082e1      2.739e1    0.003e1  0.049e1  0.092e1
9.261   10.00    9.623    2.126e1       0.006e1     0.036e1     0.068e1      2.292e1    0.002e1  0.041e1  0.077e1
10.00   11.01    10.49    1.743e1       0.005e1     0.029e1     0.056e1      1.864e1    0.002e1  0.033e1  0.062e1
11.01   12.12    11.55    1.386e1       0.004e1     0.023e1     0.044e1      1.472e1    0.002e1  0.026e1  0.049e1
12.12   13.34    12.71    1.099e1       0.003e1     0.019e1     0.035e1      1.166e1    0.001e1  0.021e1  0.039e1
13.34   14.68    13.99    8.709         0.028       0.148       0.280        9.137      0.011    0.164    0.307
14.68   16.16    15.40    6.810         0.024       0.116       0.220        7.171      0.009    0.129    0.241
16.16   17.78    16.95    5.350         0.020       0.091       0.173        5.603      0.008    0.101    0.189
17.78   19.57    18.65    4.213         0.017       0.073       0.136        4.362      0.006    0.080    0.147
19.57   21.54    20.53    3.266         0.014       0.057       0.106        3.396      0.005    0.062    0.115
21.54   23.71    22.60    2.548         0.012       0.045       0.083        2.635      0.005    0.049    0.089
23.71   26.10    24.87    1.954         0.010       0.035       0.064        2.049      0.004    0.038    0.070
26.10   28.73    27.38    1.530         0.008       0.028       0.050        1.581      0.003    0.030    0.054
28.73   31.62    30.13    1.180         0.007       0.022       0.039        1.221      0.003    0.024    0.042
31.62   35.48    33.48    8.948e-1      0.053e-1    0.167e-1    0.297e-1     9.140e-1   0.020e-1 0.179e-1 0.316e-1
35.48   39.81    37.57    6.480e-1      0.043e-1    0.125e-1    0.218e-1     6.725e-1   0.016e-1 0.136e-1 0.235e-1
39.81   44.67    42.15    4.746e-1      0.034e-1    0.094e-1    0.161e-1     4.883e-1   0.013e-1 0.101e-1 0.172e-1
44.67   50.12    47.30    3.471e-1      0.028e-1    0.072e-1    0.120e-1     3.571e-1   0.011e-1 0.077e-1 0.128e-1
50.12   56.23    53.07    2.562e-1      0.022e-1    0.055e-1    0.089e-1     2.585e-1   0.009e-1 0.058e-1 0.093e-1
56.23   63.10    59.54    1.857e-1      0.018e-1    0.043e-1    0.067e-1     1.893e-1   0.007e-1 0.045e-1 0.070e-1
63.10   70.79    66.81    1.355e-1      0.015e-1    0.032e-1    0.049e-1     1.379e-1   0.006e-1 0.034e-1 0.052e-1
70.79   79.43    74.96    1.004e-1      0.012e-1    0.026e-1    0.038e-1     1.005e-1   0.004e-1 0.027e-1 0.039e-1
79.43   89.13    84.10    7.248e-2      0.095e-2    0.199e-2    0.281e-2     7.345e-2   0.036e-2 0.204e-2 0.292e-2
89.13   100.0    94.36    5.147e-2      0.076e-2    0.157e-2    0.211e-2     5.377e-2   0.029e-2 0.165e-2 0.225e-2
100.0   113.6    106.5    3.918e-2      0.061e-2    0.132e-2    0.173e-2     3.869e-2   0.023e-2 0.132e-2 0.176e-2
113.6   129.2    121.1    2.730e-2      0.048e-2    0.104e-2    0.130e-2     2.712e-2   0.018e-2 0.105e-2 0.132e-2
129.2   146.8    137.6    1.914e-2      0.038e-2    0.084e-2    0.100e-2     1.924e-2   0.014e-2 0.085e-2 0.102e-2
146.8   166.8    156.4    1.352e-2      0.030e-2    0.064e-2    0.075e-2     1.367e-2   0.011e-2 0.064e-2 0.076e-2
