tab 	samples
azimuth	citations	criteria	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	orientation_quality	result_quality	result_type	sample	site	specimens
	This study	DE-SPEC	sample direction.		5.4	75.4	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF		g	i	sr09e	sr09	sr09e2
123.7	This study			-72.0									Igneous:Extrusive	Lava Flow					42.73656	Basalt	245.165	FS-FD:SO-POM:SO-SUN	g	g	i	sr09f	sr09	
	This study	DE-SPEC	sample direction.		22.0	75.9	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF		g	i	sr09f	sr09	sr09f2
	This study		sample direction.		39.0	-16.5	1.0	0.0	1.0	p	n	0.0										DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-T		g	i	sr09f	sr09	sr09f1
117.2	This study			-84.0									Igneous:Extrusive	Lava Flow					42.73656	Basalt	245.165	FS-FD:SO-POM:SO-SUN	g	g	i	sr09g	sr09	
	This study	DE-SPEC	sample direction.		5.6	81.2	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr09g	sr09	sr09g1
117.6	This study			-54.0									Igneous:Extrusive	Lava Flow					42.73656	Basalt	245.165	FS-FD:SO-POM:SO-SUN	g	g	i	sr09h	sr09	
88.7	This study			-83.0									Igneous:Extrusive	Lava Flow					42.73656	Basalt	245.165	FS-FD:SO-POM:SO-SUN	g	g	i	sr09i	sr09	
	This study	DE-SPEC	sample direction.		10.9	81.2	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr09i	sr09	sr09i1
94.2	This study			-84.0									Igneous:Extrusive	Lava Flow					42.73656	Basalt	245.165	FS-FD:SO-POM:SO-SUN	g	g	i	sr09j	sr09	
